TOK_SELEXPR_236,TOK_SELECT_132
TOK_SELEXPR_231,TOK_SELECT_132
TOK_SELEXPR_226,TOK_SELECT_132
TOK_SELEXPR_221,TOK_SELECT_132
TOK_SELEXPR_216,TOK_SELECT_132
TOK_SELEXPR_211,TOK_SELECT_132
TOK_SELEXPR_206,TOK_SELECT_132
TOK_SELEXPR_201,TOK_SELECT_132
TOK_SELEXPR_196,TOK_SELECT_132
TOK_SELEXPR_191,TOK_SELECT_132
TOK_SELEXPR_186,TOK_SELECT_132
TOK_SELEXPR_181,TOK_SELECT_132
TOK_SELEXPR_176,TOK_SELECT_132
TOK_SELEXPR_171,TOK_SELECT_132
TOK_SELEXPR_166,TOK_SELECT_132
TOK_SELEXPR_161,TOK_SELECT_132
TOK_SELEXPR_156,TOK_SELECT_132
TOK_SELEXPR_148,TOK_SELECT_132
TOK_SELEXPR_143,TOK_SELECT_132
TOK_SELEXPR_138,TOK_SELECT_132
TOK_SELEXPR_133,TOK_SELECT_132
TOK_SELECT_132,TOK_INSERT_124
TOK_DESTINATION_125,TOK_INSERT_124
TOK_INSERT_124,TOK_QUERY_0
TOK_FROM_1,TOK_QUERY_0
